context_key,row_id,relationship_class,cellchat_interaction_name,cellchat_pathway_name,mechanism_label,pair_count,sciteconcept_pass_rate,sciteconcept_checkpoints,base_scconcept_pass_rate,base_scconcept_checkpoints,delta_pass_rate
ccb_668_spp1_itgav_itgb5|preflight_pairs=94,ccb_668_spp1_itgav_itgb5,coexpressive,SPP1_ITGAV_ITGB5,SPP1,SPP1_ITGAV_ITGB5 SPP1 matrix/adhesion response,98,1.0,33,0.525,80,0.475
ccb_227_ccl3_ccr1|preflight_pairs=45,ccb_227_ccl3_ccr1,coexpressive,CCL3_CCR1,CCL,CCL3_CCR1 chemokine receptor context,68,1.0,33,0.5625,80,0.4375
ccb_019_ccl2_ccr2|preflight_pairs=58,ccb_019_ccl2_ccr2,coexpressive,CCL2_CCR2,CCL,CCL2 to CCR2 myeloid recruitment context,85,0.9696969696969696,33,0.5875,80,0.3821969696969697
ccb_193_pdgfc_pdgfra|preflight_pairs=112,ccb_193_pdgfc_pdgfra,coexpressive,PDGFC_PDGFRA,PDGF,PDGFC_PDGFRA perivascular stromal response,72,0.7878787878787878,33,0.5,80,0.2878787878787878
ccb_1188_efna1_epha7|preflight_pairs=55,ccb_1188_efna1_epha7,coexpressive,EFNA1_EPHA7,EPHA,EFNA1_EPHA7 contact-dependent migration/state response,46,0.6666666666666666,33,0.3875,80,0.2791666666666666
ccb_879_lamb3_itga1_itgb1|preflight_pairs=118,ccb_879_lamb3_itga1_itgb1,coexpressive,LAMB3_ITGA1_ITGB1,LAMININ,LAMB3_ITGA1_ITGB1 ECM/integrin matrix response,135,0.5757575757575758,33,0.3,80,0.2757575757575758
ccb_711_col4a2_itga3_itgb1|preflight_pairs=127,ccb_711_col4a2_itga3_itgb1,coexpressive,COL4A2_ITGA3_ITGB1,COLLAGEN,COL4A2_ITGA3_ITGB1 ECM/integrin matrix response,116,0.9696969696969696,33,0.725,80,0.2446969696969697
ccb_191_pdgfa_pdgfrb|preflight_pairs=240,ccb_191_pdgfa_pdgfrb,coexpressive,PDGFA_PDGFRB,PDGF,PDGFA_PDGFRB perivascular stromal response,263,0.6666666666666666,33,0.4625,80,0.2041666666666666
ccb_684_col6a2_itga1_itgb1|preflight_pairs=58,ccb_684_col6a2_itga1_itgb1,coexpressive,COL6A2_ITGA1_ITGB1,COLLAGEN,COL6A2_ITGA1_ITGB1 ECM/integrin matrix response,47,0.9393939393939394,33,0.7375,80,0.2018939393939394
ccb_718_col6a3_itga3_itgb1|preflight_pairs=121,ccb_718_col6a3_itga3_itgb1,coexpressive,COL6A3_ITGA3_ITGB1,COLLAGEN,COL6A3_ITGA3_ITGB1 ECM/integrin matrix response,115,0.7575757575757576,33,0.5875,80,0.1700757575757575
ccb_778_col4a1_itgav_itgb8|preflight_pairs=69,ccb_778_col4a1_itgav_itgb8,coexpressive,COL4A1_ITGAV_ITGB8,COLLAGEN,COL4A1_ITGAV_ITGB8 ECM/integrin matrix response,62,0.6666666666666666,33,0.5,80,0.1666666666666666
ccb_014_vegfa_vegfr2|preflight_pairs=199,ccb_014_vegfa_vegfr2,coexpressive,VEGFA_VEGFR2,VEGF,VEGFA to KDR angiogenic response,224,0.8484848484848485,33,0.6875,80,0.1609848484848485
ccb_779_col4a2_itgav_itgb8|preflight_pairs=53,ccb_779_col4a2_itgav_itgb8,coexpressive,COL4A2_ITGAV_ITGB8,COLLAGEN,COL4A2_ITGAV_ITGB8 ECM/integrin matrix response,123,0.9393939393939394,33,0.7875,80,0.1518939393939394
ccb_1221_efnb1_ephb2|preflight_pairs=82,ccb_1221_efnb1_ephb2,coexpressive,EFNB1_EPHB2,EPHB,EFNB1_EPHB2 contact-dependent migration/state response,68,0.5454545454545454,33,0.4125,80,0.1329545454545454
ccb_026_spp1_cd44|preflight_pairs=237,ccb_026_spp1_cd44,coexpressive,SPP1_CD44,SPP1,SPP1 to CD44 matrix/myeloid response,275,1.0,33,0.875,80,0.125
ccb_187_vegfa_vegfr1r2|preflight_pairs=127,ccb_187_vegfa_vegfr1r2,coexpressive,VEGFA_VEGFR1R2,VEGF,VEGFA_VEGFR1R2 VEGF angiogenic response,139,0.8181818181818182,33,0.7,80,0.1181818181818182
ccb_870_fn1_sdc1|preflight_pairs=442,ccb_870_fn1_sdc1,coexpressive,FN1_SDC1,FN1,FN1_SDC1 ECM/integrin matrix response,449,0.8787878787878788,33,0.775,80,0.1037878787878787
ccb_023_jag1_notch1|preflight_pairs=373,ccb_023_jag1_notch1,coexpressive,JAG1_NOTCH1,NOTCH,JAG1 to NOTCH1 target response,416,1.0,33,0.9,80,0.0999999999999999
ccb_674_col1a1_itga1_itgb1|preflight_pairs=535,ccb_674_col1a1_itga1_itgb1,coexpressive,COL1A1_ITGA1_ITGB1,COLLAGEN,COL1A1_ITGA1_ITGB1 ECM/integrin matrix response,626,1.0,33,0.9,80,0.0999999999999999
ccb_1216_efna5_epha7|preflight_pairs=81,ccb_1216_efna5_epha7,coexpressive,EFNA5_EPHA7,EPHA,EFNA5_EPHA7 contact-dependent migration/state response,106,0.5454545454545454,33,0.45,80,0.0954545454545454
ccb_028_col1a1_itga2_itgb1|preflight_pairs=52,ccb_028_col1a1_itga2_itgb1,coexpressive,COL1A1_ITGA2_ITGB1,COLLAGEN,COL1A1 to ITGA2/ITGB1 matrix response,73,1.0,33,0.9125,80,0.0875
ccb_249_ccl5_ccr4|preflight_pairs=41,ccb_249_ccl5_ccr4,coexpressive,CCL5_CCR4,CCL,CCL5_CCR4 chemokine receptor context,86,1.0,33,0.9125,80,0.0875
ccb_159_fgf9_fgfr1|preflight_pairs=78,ccb_159_fgf9_fgfr1,coexpressive,FGF9_FGFR1,FGF,FGF9_FGFR1 FGF/MAPK response,64,0.5454545454545454,33,0.475,80,0.0704545454545454
ccb_316_dll1_notch2|preflight_pairs=149,ccb_316_dll1_notch2,coexpressive,DLL1_NOTCH2,NOTCH,DLL1_NOTCH2 NOTCH target response,144,0.6060606060606061,33,0.5375,80,0.0685606060606061
ccb_665_wnt11_fzd8|preflight_pairs=75,ccb_665_wnt11_fzd8,coexpressive,WNT11_FZD8,ncWNT,WNT11_FZD8 WNT target/matrix response,70,0.6060606060606061,33,0.5375,80,0.0685606060606061
ccb_1185_efna1_epha3|preflight_pairs=95,ccb_1185_efna1_epha3,coexpressive,EFNA1_EPHA3,EPHA,EFNA1_EPHA3 contact-dependent migration/state response,107,0.5151515151515151,33,0.45,80,0.0651515151515151
ccb_155_fgf18_fgfr1|preflight_pairs=205,ccb_155_fgf18_fgfr1,coexpressive,FGF18_FGFR1,FGF,FGF18_FGFR1 FGF/MAPK response,194,0.4848484848484848,33,0.425,80,0.0598484848484848
ccb_003_tgfb1_tgfbr1_tgfbr2|preflight_pairs=83,ccb_003_tgfb1_tgfbr1_tgfbr2,coexpressive,TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1 to TGFBR EMT/fibrosis response,202,0.8787878787878788,33,0.85,80,0.0287878787878788
ccb_031_kitl_kit|preflight_pairs=168,ccb_031_kitl_kit,coexpressive,KITL_KIT,KIT,KITLG to KIT mast/progenitor response,182,0.696969696969697,33,0.675,80,0.0219696969696969
ccb_1223_efnb1_ephb4|preflight_pairs=146,ccb_1223_efnb1_ephb4,coexpressive,EFNB1_EPHB4,EPHB,EFNB1_EPHB4 contact-dependent migration/state response,72,0.5454545454545454,33,0.525,80,0.0204545454545453
ccb_675_col1a2_itga1_itgb1|preflight_pairs=81,ccb_675_col1a2_itga1_itgb1,coexpressive,COL1A2_ITGA1_ITGB1,COLLAGEN,COL1A2_ITGA1_ITGB1 ECM/integrin matrix response,49,0.0909090909090909,33,0.075,80,0.0159090909090909
ccb_156_fgf18_fgfr2|preflight_pairs=54,ccb_156_fgf18_fgfr2,coexpressive,FGF18_FGFR2,FGF,FGF18_FGFR2 FGF/MAPK response,57,0.5757575757575758,33,0.5625,80,0.0132575757575758
ccb_219_cxcl11_cxcr3|preflight_pairs=115,ccb_219_cxcl11_cxcr3,coexpressive,CXCL11_CXCR3,CXCL,CXCL11_CXCR3 chemokine receptor context,91,0.7272727272727273,33,0.7375,80,-0.0102272727272727
ccb_643_wnt5a_fzd7|preflight_pairs=126,ccb_643_wnt5a_fzd7,coexpressive,WNT5A_FZD7,ncWNT,WNT5A_FZD7 WNT target/matrix response,108,0.3636363636363636,33,0.375,80,-0.0113636363636363
ccb_693_col4a1_itga2_itgb1|preflight_pairs=217,ccb_693_col4a1_itga2_itgb1,coexpressive,COL4A1_ITGA2_ITGB1,COLLAGEN,COL4A1_ITGA2_ITGB1 ECM/integrin matrix response,291,0.8484848484848485,33,0.8625,80,-0.0140151515151515
ccb_861_fn1_itga4_itgb1|preflight_pairs=222,ccb_861_fn1_itga4_itgb1,coexpressive,FN1_ITGA4_ITGB1,FN1,FN1_ITGA4_ITGB1 ECM/integrin matrix response,190,0.2424242424242424,33,0.325,80,-0.0825757575757575
ccb_637_wnt5a_fzd1|preflight_pairs=100,ccb_637_wnt5a_fzd1,coexpressive,WNT5A_FZD1,ncWNT,WNT5A_FZD1 WNT target/matrix response,58,0.4242424242424242,33,0.5125,80,-0.0882575757575757
ccb_723_col9a3_itga3_itgb1|preflight_pairs=94,ccb_723_col9a3_itga3_itgb1,coexpressive,COL9A3_ITGA3_ITGB1,COLLAGEN,COL9A3_ITGA3_ITGB1 ECM/integrin matrix response,102,0.696969696969697,33,0.8,80,-0.103030303030303
ccb_290_cx3cl1_cx3cr1|preflight_pairs=262,ccb_290_cx3cl1_cx3cr1,coexpressive,CX3CL1_CX3CR1,CX3C,CX3CL1_CX3CR1 chemokine receptor context,371,0.4242424242424242,33,0.5375,80,-0.1132575757575757
ccb_009_egf_egfr|preflight_pairs=43,ccb_009_egf_egfr,coexpressive,EGF_EGFR,EGF,EGF to EGFR immediate-early response,58,0.4545454545454545,33,0.575,80,-0.1204545454545454
ccb_868_fn1_itgav_itgb8|preflight_pairs=74,ccb_868_fn1_itgav_itgb8,coexpressive,FN1_ITGAV_ITGB8,FN1,FN1_ITGAV_ITGB8 ECM/integrin matrix response,92,0.696969696969697,33,0.825,80,-0.1280303030303029
ccb_964_lama5_cd44|preflight_pairs=267,ccb_964_lama5_cd44,coexpressive,LAMA5_CD44,LAMININ,LAMA5_CD44 ECM/integrin matrix response,283,0.5454545454545454,33,0.675,80,-0.1295454545454546
ccb_652_wnt5b_fzd5|preflight_pairs=73,ccb_652_wnt5b_fzd5,coexpressive,WNT5B_FZD5,ncWNT,WNT5B_FZD5 WNT target/matrix response,64,0.3939393939393939,33,0.525,80,-0.1310606060606061
ccb_291_mif_cd74_cxcr4|preflight_pairs=105,ccb_291_mif_cd74_cxcr4,coexpressive,MIF_CD74_CXCR4,MIF,MIF_CD74_CXCR4 myeloid survival/activation response,133,0.3636363636363636,33,0.5,80,-0.1363636363636363
ccb_1222_efnb1_ephb3|preflight_pairs=105,ccb_1222_efnb1_ephb3,coexpressive,EFNB1_EPHB3,EPHB,EFNB1_EPHB3 contact-dependent migration/state response,97,0.4545454545454545,33,0.625,80,-0.1704545454545454
ccb_225_cxcl16_cxcr6|preflight_pairs=116,ccb_225_cxcl16_cxcr6,coexpressive,CXCL16_CXCR6,CXCL,CXCL16_CXCR6 chemokine receptor context,164,0.3636363636363636,33,0.5625,80,-0.1988636363636363
ccb_122_fgf1_fgfr2|preflight_pairs=124,ccb_122_fgf1_fgfr2,coexpressive,FGF1_FGFR2,FGF,FGF1_FGFR2 FGF/MAPK response,108,0.2121212121212121,33,0.425,80,-0.2128787878787878
ccb_689_col9a2_itga1_itgb1|preflight_pairs=232,ccb_689_col9a2_itga1_itgb1,coexpressive,COL9A2_ITGA1_ITGB1,COLLAGEN,COL9A2_ITGA1_ITGB1 ECM/integrin matrix response,223,0.2121212121212121,33,0.675,80,-0.4628787878787879
ccb_003_lgals9_havcr2|preflight_pairs=743,ccb_003_lgals9_havcr2,inhibitory,LGALS9_HAVCR2,GALECTIN,LGALS9 to TIM3 exhaustion axis,185,1.0,33,0.3875,80,0.6125
ccb_019_tgfb1_acvr1b_tgfbr2|preflight_pairs=224,ccb_019_tgfb1_acvr1b_tgfbr2,inhibitory,TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1_ACVR1B_TGFBR2 TGF-beta immune suppression candidate,178,0.9696969696969696,33,0.475,80,0.4946969696969697
ccb_003_lgals9_havcr2|preflight_pairs=2920,ccb_003_lgals9_havcr2,inhibitory,LGALS9_HAVCR2,GALECTIN,LGALS9 to TIM3 exhaustion axis,1759,0.7272727272727273,33,0.3,80,0.4272727272727273
ccb_065_btla_tnfrsf14|preflight_pairs=579,ccb_065_btla_tnfrsf14,inhibitory,BTLA_TNFRSF14,BTLA,BTLA_TNFRSF14 HVEM/BTLA/CD160 checkpoint candidate,251,0.7575757575757576,33,0.3625,80,0.3950757575757576
ccb_040_lgals9_cd45|preflight_pairs=7160,ccb_040_lgals9_cd45,inhibitory,LGALS9_CD45,GALECTIN,LGALS9_CD45 galectin-9 immunoregulatory candidate,5215,0.4242424242424242,33,0.1,80,0.3242424242424242
ccb_019_tgfb1_acvr1b_tgfbr2|preflight_pairs=420,ccb_019_tgfb1_acvr1b_tgfbr2,inhibitory,TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1_ACVR1B_TGFBR2 TGF-beta immune suppression candidate,152,0.8181818181818182,33,0.5375,80,0.2806818181818182
ccb_033_hla_b_kir3dl2|preflight_pairs=185,ccb_033_hla_b_kir3dl2,inhibitory,HLA-B_KIR3DL2,MHC-I,HLA-B_KIR3DL2 MHC inhibitory receptor axis,69,0.696969696969697,33,0.4375,80,0.259469696969697
ccb_004_pvr_tigit|preflight_pairs=139,ccb_004_pvr_tigit,inhibitory,PVR_TIGIT,PVR,PVR to TIGIT suppression,228,0.5757575757575758,33,0.35,80,0.2257575757575758
ccb_033_hla_b_kir3dl2|preflight_pairs=659,ccb_033_hla_b_kir3dl2,inhibitory,HLA-B_KIR3DL2,MHC-I,HLA-B_KIR3DL2 MHC inhibitory receptor axis,414,0.6060606060606061,33,0.3875,80,0.218560606060606
ccb_040_lgals9_cd45|preflight_pairs=2162,ccb_040_lgals9_cd45,inhibitory,LGALS9_CD45,GALECTIN,LGALS9_CD45 galectin-9 immunoregulatory candidate,1272,0.9393939393939394,33,0.725,80,0.2143939393939394
ccb_023_tgfb3_acvr1b_tgfbr2|preflight_pairs=219,ccb_023_tgfb3_acvr1b_tgfbr2,inhibitory,TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3_ACVR1B_TGFBR2 TGF-beta immune suppression candidate,75,0.6060606060606061,33,0.4125,80,0.1935606060606061
ccb_041_lgals9_cd44|preflight_pairs=3482,ccb_041_lgals9_cd44,inhibitory,LGALS9_CD44,GALECTIN,LGALS9_CD44 galectin-9 immunoregulatory candidate,2446,0.9393939393939394,33,0.75,80,0.1893939393939394
ccb_002_pdcd1lg2_pdcd1|preflight_pairs=221,ccb_002_pdcd1lg2_pdcd1,inhibitory,PDCD1LG2_PDCD1,PDL2,PD-L2 to PD-1 checkpoint suppression,96,0.5454545454545454,33,0.4125,80,0.1329545454545454
ccb_005_nectin2_tigit|preflight_pairs=160,ccb_005_nectin2_tigit,inhibitory,NECTIN2_TIGIT,NECTIN,NECTIN2 to TIGIT suppression,80,0.4545454545454545,33,0.3625,80,0.0920454545454545
ccb_074_lair1_lilrb4|preflight_pairs=293,ccb_074_lair1_lilrb4,inhibitory,LAIR1_LILRB4,LAIR1,LAIR1_LILRB4 LILRB4 myeloid inhibitory candidate,247,0.7272727272727273,33,0.6375,80,0.0897727272727273
ccb_001_cd274_pdcd1|preflight_pairs=117,ccb_001_cd274_pdcd1,inhibitory,CD274_PDCD1,PD-L1,PD-L1 to PD-1 checkpoint suppression,145,0.4242424242424242,33,0.3375,80,0.0867424242424242
ccb_071_icosl_ctla4|preflight_pairs=254,ccb_071_icosl_ctla4,inhibitory,ICOSL_CTLA4,ICOS,ICOSL_CTLA4 CTLA4 contact suppression,135,0.5151515151515151,33,0.45,80,0.0651515151515151
ccb_007_hla_e_klrc1|preflight_pairs=186,ccb_007_hla_e_klrc1,inhibitory,HLA-E_KLRC1,MHC-I,HLA-E to KLRC1 inhibitory axis,77,0.5454545454545454,33,0.4875,80,0.0579545454545454
ccb_067_thbs2_cd47|preflight_pairs=946,ccb_067_thbs2_cd47,inhibitory,THBS2_CD47,THBS,THBS2_CD47 CD47 checkpoint-like suppression candidate,631,0.5151515151515151,33,0.4625,80,0.0526515151515151
ccb_008_hla_g_lilrb1|preflight_pairs=1540,ccb_008_hla_g_lilrb1,inhibitory,HLA-G_LILRB1,MHC-I,HLA-G to LILRB1 inhibitory axis,538,0.3636363636363636,33,0.3125,80,0.0511363636363636
ccb_008_hla_g_lilrb1|preflight_pairs=529,ccb_008_hla_g_lilrb1,inhibitory,HLA-G_LILRB1,MHC-I,HLA-G to LILRB1 inhibitory axis,538,0.3636363636363636,33,0.3125,80,0.0511363636363636
ccb_001_cd274_pdcd1|preflight_pairs=444,ccb_001_cd274_pdcd1,inhibitory,CD274_PDCD1,PD-L1,PD-L1 to PD-1 checkpoint suppression,278,0.2121212121212121,33,0.175,80,0.0371212121212121
ccb_041_lgals9_cd44|preflight_pairs=3104,ccb_041_lgals9_cd44,inhibitory,LGALS9_CD44,GALECTIN,LGALS9_CD44 galectin-9 immunoregulatory candidate,2805,0.2121212121212121,33,0.2125,80,-0.0003787878787878
ccb_012_entpd1_adora2a|preflight_pairs=526,ccb_012_entpd1_adora2a,inhibitory,ENTPD1_ADORA2A,CD39,ENTPD1/CD39 to ADORA2A adenosine suppression,206,0.2727272727272727,33,0.275,80,-0.0022727272727273
ccb_014_il10_il10ra_il10rb|preflight_pairs=216,ccb_014_il10_il10ra_il10rb,inhibitory,IL10_IL10RA_IL10RB,IL10,IL10 to IL10R APC suppression,65,0.4242424242424242,33,0.45,80,-0.0257575757575757
ccb_011_cd86_ctla4|preflight_pairs=1197,ccb_011_cd86_ctla4,inhibitory,CD86_CTLA4,CD86,CD86 to CTLA4 inhibitory checkpoint contact,565,0.4545454545454545,33,0.4875,80,-0.0329545454545454
ccb_043_lgals9_p4hb|preflight_pairs=1154,ccb_043_lgals9_p4hb,inhibitory,LGALS9_P4HB,GALECTIN,LGALS9_P4HB galectin-9 immunoregulatory candidate,547,0.4242424242424242,33,0.4875,80,-0.0632575757575757
ccb_002_pdcd1lg2_pdcd1|preflight_pairs=357,ccb_002_pdcd1lg2_pdcd1,inhibitory,PDCD1LG2_PDCD1,PDL2,PD-L2 to PD-1 checkpoint suppression,208,0.2727272727272727,33,0.35,80,-0.0772727272727272
ccb_011_cd86_ctla4|preflight_pairs=268,ccb_011_cd86_ctla4,inhibitory,CD86_CTLA4,CD86,CD86 to CTLA4 inhibitory checkpoint contact,225,0.4242424242424242,33,0.525,80,-0.1007575757575757
ccb_066_thbs1_cd47|preflight_pairs=9243,ccb_066_thbs1_cd47,inhibitory,THBS1_CD47,THBS,THBS1_CD47 CD47 checkpoint-like suppression candidate,3418,0.7575757575757576,33,0.875,80,-0.1174242424242424
ccb_069_thbs4_cd47|preflight_pairs=267,ccb_069_thbs4_cd47,inhibitory,THBS4_CD47,THBS,THBS4_CD47 CD47 checkpoint-like suppression candidate,47,0.3939393939393939,33,0.5125,80,-0.118560606060606
ccb_043_lgals9_p4hb|preflight_pairs=810,ccb_043_lgals9_p4hb,inhibitory,LGALS9_P4HB,GALECTIN,LGALS9_P4HB galectin-9 immunoregulatory candidate,482,0.4242424242424242,33,0.55,80,-0.1257575757575758
ccb_009_hla_g_lilrb2|preflight_pairs=462,ccb_009_hla_g_lilrb2,inhibitory,HLA-G_LILRB2,MHC-I,HLA-G to LILRB2 myeloid inhibitory axis,213,0.0909090909090909,33,0.2625,80,-0.1715909090909091
ccb_070_comp_cd47|preflight_pairs=414,ccb_070_comp_cd47,inhibitory,COMP_CD47,THBS,COMP_CD47 CD47 checkpoint-like suppression candidate,148,0.3636363636363636,33,0.55,80,-0.1863636363636364
ccb_018_tgfb3_tgfbr1_tgfbr2|preflight_pairs=17428,ccb_018_tgfb3_tgfbr1_tgfbr2,inhibitory,TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3_TGFBR1_TGFBR2 TGF-beta immune suppression candidate,9828,0.1818181818181818,33,0.425,80,-0.2431818181818181
ccb_062_angptl2_pirb|preflight_pairs=157,ccb_062_angptl2_pirb,inhibitory,ANGPTL2_PIRB,ANGPTL,ANGPTL2_PIRB LILRB3/PIRB myeloid inhibitory candidate,273,0.2121212121212121,33,0.4875,80,-0.2753787878787879
ccb_066_thbs1_cd47|preflight_pairs=960,ccb_066_thbs1_cd47,inhibitory,THBS1_CD47,THBS,THBS1_CD47 CD47 checkpoint-like suppression candidate,513,0.3333333333333333,33,0.6375,80,-0.3041666666666666
ccb_010_cd80_ctla4|preflight_pairs=355,ccb_010_cd80_ctla4,inhibitory,CD80_CTLA4,CD80,CD80 to CTLA4 inhibitory checkpoint contact,181,0.1515151515151515,33,0.475,80,-0.3234848484848485
ccb_017_tgfb2_tgfbr1_tgfbr2|preflight_pairs=9663,ccb_017_tgfb2_tgfbr1_tgfbr2,inhibitory,TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2_TGFBR1_TGFBR2 TGF-beta immune suppression candidate,4791,0.1212121212121212,33,0.4875,80,-0.3662878787878788
ccb_017_tgfb2_tgfbr1_tgfbr2|preflight_pairs=4281,ccb_017_tgfb2_tgfbr1_tgfbr2,inhibitory,TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2_TGFBR1_TGFBR2 TGF-beta immune suppression candidate,2273,0.4242424242424242,33,0.875,80,-0.4507575757575757
ccb_018_tgfb3_tgfbr1_tgfbr2|preflight_pairs=4161,ccb_018_tgfb3_tgfbr1_tgfbr2,inhibitory,TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3_TGFBR1_TGFBR2 TGF-beta immune suppression candidate,1801,0.1212121212121212,33,0.7625,80,-0.6412878787878787
ccb_067_thbs2_cd47|preflight_pairs=4514,ccb_067_thbs2_cd47,inhibitory,THBS2_CD47,THBS,THBS2_CD47 CD47 checkpoint-like suppression candidate,1512,0.1515151515151515,33,0.85,80,-0.6984848484848485
